Word1,Word2,Human_Score,Model_Score
disability,death,2.3125,0.09868511
disaster,area,1.625,-0.068862796
discovery,space,3.9375,-0.1208381
dividend,calculation,5.1875,-0.14821914
dividend,payment,5.5,0.01924653
doctor,liability,2.5,-0.02826478
doctor,nurse,6.125,0.06831795
doctor,personnel,3.5625,0.07165566
dollar,buck,8.5625,-0.06322801
dollar,loss,2.1875,0.03747256
dollar,profit,5.375,0.11184602
dollar,yen,6.3125,-0.024986198
drink,car,0.3125,0.20451719
drink,ear,0.375,0.17112145
drink,eat,4.125,0.18939458
drink,mother,0.5625,0.06697546
drink,mouth,4.7375,0.034640435
drug,abuse,4.9375,0.097164884
energy,crisis,3.0505,-0.14745171
energy,laboratory,2.7565,0.14781073
energy,secretary,1.0625,-0.05845042
equipment,maker,2.5625,0.32569513
exhibit,memorabilia,4.625,-0.23230007
experience,music,2.3125,0.072639056
family,planning,1.75,0.023869254
fertility,egg,5.1875,-0.20106934
fighting,defeating,5.5,0.011696187
five,month,1.069,0.041860376
focus,life,2.3125,0.044383936
food,fruit,7.0625,0.09305893
food,preparation,3.75,0.23630261
food,rooster,2.5625,0.00016097174
football,basketball,4.125,0.30615598
football,soccer,8.5625,0.36110038
football,tennis,3.6875,0.38393286
forest,graveyard,1.394,0.019477794
fuck,sex,8.25,-0.04160186
furnace,stove,8.0625,-0.057507902
game,defeat,3.6875,0.054686397
game,round,5.1875,0.20985249
game,series,4.5625,0.18042545
game,team,4.625,0.23503366
game,victory,4.6875,0.19457503
gender,equality,3.4375,0.16875505
glass,magician,1.0,0.037602104
glass,metal,2.1875,0.18078649
government,crisis,3.625,-0.052693915
governor,interview,1.625,0.09161303
governor,office,4.3125,-0.016816448
grocery,money,3.375,-0.06942683
holy,sex,1.069,0.13849498
hotel,reservation,5.0625,-0.02088331
hundred,percent,4.4375,0.34504008
image,surface,1.8125,0.28602567
impartiality,interest,1.875,0.0892708
investigation,effort,3.75,0.2134739
investor,earning,5.0625,0.0010484817
jaguar,car,5.3125,0.078043945
jaguar,cat,6.4375,0.05466767
journal,association,2.625,0.28705198
journey,car,4.0625,-0.12345882
journey,voyage,7.5,0.34702137
king,cabbage,0.625,-0.019435495
king,queen,5.6875,0.22369531
lad,brother,4.9375,0.1530323
lad,wizard,1.6875,0.04939913
law,lawyer,6.1875,0.15952787
lawyer,evidence,3.9375,0.006352317
liability,insurance,4.375,0.41486132
life,death,4.375,0.37063524
life,lesson,3.1875,0.08350989
life,term,3.8125,-0.07674797
line,insurance,1.3125,-0.09234142
liquid,water,7.0625,0.22526482
listing,category,5.375,0.20348
listing,proximity,1.4375,0.060014173
love,sex,6.375,0.04648329
lover,quarrel,1.6875,0.0015815682
luxury,car,3.3125,0.17674221
magician,wizard,7.6875,-0.08932511
man,governor,4.25,0.094792806
man,woman,4.5,0.6877114
media,gain,1.375,0.0065039266
media,radio,6.4375,0.10652202
media,trading,1.8125,0.16788776
midday,noon,8.9375,-0.27499515
mile,kilometer,6.9375,0.5708743
minister,party,3.0625,0.17777619
ministry,culture,2.844,0.16607457
minority,peace,1.1875,-0.18094046
money,bank,6.0,-0.019358212
money,cash,8.875,0.17585343
money,cash,9.0315,0.17585343
money,currency,7.9375,0.11240384
money,deposit,5.375,-0.09762855
money,dollar,7.6875,0.119650364
money,laundering,4.4565,-0.077518694
money,operation,1.875,0.19897893
money,possession,4.3125,0.14416297
money,property,5.0625,0.12624055
money,wealth,7.0625,0.13341565
money,withdrawal,4.0625,0.2693696
monk,oracle,2.5625,0.17681547
monk,slave,2.5625,-0.10914696
month,hotel,1.0625,-0.09090529
morality,importance,2.5,0.11633478
morality,marriage,2.375,0.08419231
movie,critic,3.1875,0.070720926
movie,star,4.3125,0.29480803
movie,theater,6.125,0.010294956
murder,manslaughter,7.5,0.28290623
museum,theater,3.875,0.19543931
music,project,3.1875,0.036362965
nature,environment,6.9375,0.124733314
nature,man,2.9375,0.03577828
network,hardware,3.8125,-0.028641243
news,report,6.8125,0.24711835
noon,string,0.6875,0.075864755
observation,architecture,1.875,-0.010958022
oil,stock,2.9375,0.28456017
opera,industry,1.194,-0.104653336
opera,performance,4.875,0.07983526
peace,atmosphere,2.1875,-0.010644403
peace,insurance,1.7565,0.015501021
peace,plan,1.5,0.06964527
phone,equipment,4.0315,-0.0071119154
physics,chemistry,5.0625,0.053033356
physics,proton,6.125,0.48512095
plane,car,3.5625,0.29427546
planet,galaxy,6.125,-0.08038365
planet,moon,6.0,-0.031997938
planet,people,3.375,0.06705717
planet,space,5.3125,-0.026097393
planet,star,5.625,0.1508946
planet,sun,5.8125,-0.0547021
population,development,3.4755,0.07172926
possibility,girl,1.069,0.15006872
practice,institution,3.5625,-0.2709386
precedent,collection,1.0625,0.122797966
precedent,example,5.4375,0.36417812
precedent,group,1.5625,0.24183515
precedent,information,2.375,0.15990658
precedent,law,4.375,0.08784704
prejudice,recognition,3.3125,-0.028641267
preservation,world,2.4375,0.02690891
president,medal,1.25,-0.01728299
problem,airport,1.3125,-0.16737106
problem,challenge,6.875,0.2816322
production,crew,3.1875,0.103833534
production,hike,0.9375,0.03345554
professor,doctor,6.125,0.021848565
profit,loss,3.875,0.07486906
profit,warning,1.6875,-0.14898315
psychology,anxiety,3.75,0.026870478
psychology,clinic,4.344,0.060179677
psychology,depression,5.25,0.0803057
psychology,discipline,3.3125,0.032369796
psychology,doctor,5.294,0.034741502
psychology,fear,3.1875,0.0039897845
psychology,health,4.3625,-0.051716223
psychology,mind,5.4375,-0.15818268
psychology,psychiatry,6.9375,0.049231343
psychology,science,5.9505,0.33205253
reason,criterion,4.625,0.24907719
record,number,3.5,0.07049151
registration,arrangement,3.4375,-0.09846106
report,gain,2.25,0.16304149
rock,jazz,5.5,-0.03311654
rooster,voyage,0.9375,0.13027473
school,center,3.875,-0.07042553
seafood,food,6.875,-0.13388143
seafood,sea,5.375,-0.055209048
secretary,senate,3.75,0.28365445
seven,series,2.25,0.09129377
shore,woodland,1.625,-0.037581775
shower,flood,3.5625,0.034839652
sign,recess,1.5065,-0.013911348
situation,conclusion,3.5625,0.28527185
situation,isolation,1.9375,0.053714518
size,prominence,3.75,0.019999372
skin,eye,2.75,-0.080964826
smart,student,3.625,0.040095847
smart,stupid,3.25,-0.025300357
soap,opera,3.5625,-0.096968934
space,chemistry,1.8875,0.19831483
space,world,4.9375,0.044210676
start,match,2.5,-0.004698932
start,year,1.625,0.040727958
stock,egg,1.4375,-0.059961718
stock,jaguar,0.9375,-0.09834975
stock,life,1.8125,-0.12456903
stock,live,1.875,-0.12564981
stock,market,4.875,0.42655358
stock,phone,0.75,0.12994066
street,avenue,7.6875,0.3978168
street,block,6.5625,0.39543974
street,children,1.294,0.04121315
street,place,4.5,0.19978885
stroke,hospital,3.625,-0.0388717
student,professor,4.9375,0.37294233
sugar,approach,0.9375,0.014334615
summer,drought,3.3125,-0.028146895
summer,nature,4.0,0.065185346
telephone,communication,6.6875,0.22733817
television,film,5.75,-0.12745026
television,radio,4.625,0.01348095
tennis,racket,5.0,-0.09201391
territory,kilometer,2.1875,-0.057929356
territory,surface,3.594,-0.022219243
theater,history,1.9375,0.011686547
tiger,animal,6.9375,-0.21228252
tiger,cat,6.75,0.03307901
tiger,feline,5.0625,-0.12079325
tiger,jaguar,5.75,0.080893986
tiger,organism,3.0625,0.5054249
tiger,tiger,10.0,1.0000001
tiger,zoo,4.9375,0.17001975
tool,implement,5.3125,-0.09165395
train,car,3.5,0.055776678
travel,activity,4.1875,-0.12492793
treatment,recovery,5.3125,0.053600144
type,kind,8.4375,0.31331438
victim,emergency,2.6875,0.11005902
viewer,serial,2.5625,-0.24219564
volunteer,motto,1.3815,0.08396583
war,troops,6.375,0.016493965
water,seepage,3.875,0.3582883
weapon,secret,2.5,-0.049201783
weather,forecast,5.4375,-0.122963354
wood,forest,7.9375,0.041878965
word,similarity,0.8125,0.0063089756
