Word1,Word2,Human_Score,Model_Score
life,lesson,3.1875,0.14368877
life,term,3.8125,0.08218598
line,insurance,1.3125,-0.036787543
liquid,water,7.0625,0.37003767
listing,category,5.375,-0.041706603
listing,proximity,1.4375,0.06518417
love,sex,6.375,0.20482835
lover,quarrel,1.6875,0.09281303
luxury,car,3.3125,0.17202014
man,governor,4.25,0.19053155
man,woman,4.5,0.51984906
media,gain,1.375,0.15707907
media,radio,6.4375,0.065480985
media,trading,1.8125,0.21152675
midday,noon,8.9375,0.117321275
mile,kilometer,6.9375,0.23613118
minister,party,3.0625,0.24744129
ministry,culture,2.844,0.2791416
minority,peace,1.1875,0.24752042
money,bank,6.0,0.2279806
money,cash,8.875,0.3135865
money,cash,9.0315,0.3135865
money,currency,7.9375,0.15008721
money,deposit,5.375,0.021515394
money,dollar,7.6875,0.3533303
money,laundering,4.4565,0.06648024
money,operation,1.875,0.22798361
money,possession,4.3125,0.15376848
money,property,5.0625,0.3183312
money,wealth,7.0625,0.14207944
money,withdrawal,4.0625,0.119895205
monk,slave,2.5625,0.14057857
month,hotel,1.0625,0.1878536
morality,importance,2.5,0.28214848
morality,marriage,2.375,0.11041746
movie,critic,3.1875,0.26059747
movie,star,4.3125,0.25165913
movie,theater,6.125,0.36900875
museum,theater,3.875,0.39977226
music,project,3.1875,0.16505925
nature,environment,6.9375,0.43452603
nature,man,2.9375,0.19225055
network,hardware,3.8125,0.13617487
news,report,6.8125,0.483456
noon,string,0.6875,0.1986019
observation,architecture,1.875,0.16511467
oil,stock,2.9375,0.31805095
opera,industry,1.194,0.18225084
opera,performance,4.875,0.1999541
peace,atmosphere,2.1875,0.16265938
peace,insurance,1.7565,-0.06588939
peace,plan,1.5,0.17656882
phone,equipment,4.0315,0.00016026657
physics,chemistry,5.0625,0.15968233
plane,car,3.5625,0.2884889
planet,moon,6.0,0.27560645
planet,people,3.375,0.16141863
planet,space,5.3125,0.15147778
planet,star,5.625,-0.010685558
planet,sun,5.8125,0.30238318
population,development,3.4755,0.28004077
possibility,girl,1.069,0.2321626
practice,institution,3.5625,0.18222691
precedent,collection,1.0625,0.14634992
precedent,example,5.4375,0.28629735
precedent,group,1.5625,0.09084128
precedent,information,2.375,0.16541912
precedent,law,4.375,0.17771356
prejudice,recognition,3.3125,0.20413132
preservation,world,2.4375,0.1774781
president,medal,1.25,0.09441741
problem,airport,1.3125,0.093901716
problem,challenge,6.875,0.30981898
production,crew,3.1875,-0.031633653
professor,doctor,6.125,0.085634254
profit,loss,3.875,0.35533902
profit,warning,1.6875,0.040854182
psychology,anxiety,3.75,0.16609867
psychology,depression,5.25,0.1936061
psychology,discipline,3.3125,0.13953193
psychology,doctor,5.294,0.10581343
psychology,fear,3.1875,0.13024673
psychology,health,4.3625,0.1849058
psychology,mind,5.4375,0.078527085
psychology,science,5.9505,0.24169715
reason,criterion,4.625,0.15622124
record,number,3.5,0.19499578
registration,arrangement,3.4375,0.06167669
report,gain,2.25,0.21612577
rock,jazz,5.5,0.07402847
school,center,3.875,0.10697799
secretary,senate,3.75,0.3932359
seven,series,2.25,0.22307841
shower,flood,3.5625,0.22532827
situation,conclusion,3.5625,0.3758876
situation,isolation,1.9375,0.25932068
size,prominence,3.75,0.19990405
skin,eye,2.75,0.2416868
smart,student,3.625,0.076728456
smart,stupid,3.25,0.19526322
soap,opera,3.5625,0.012851338
space,chemistry,1.8875,0.12274576
space,world,4.9375,0.1927124
start,match,2.5,0.15287516
start,year,1.625,0.15745053
stock,egg,1.4375,0.1019351
stock,jaguar,0.9375,0.06454872
stock,life,1.8125,0.08247111
stock,live,1.875,-0.06960961
stock,market,4.875,0.46985227
stock,phone,0.75,0.05352474
street,avenue,7.6875,0.40234265
street,block,6.5625,0.43476442
street,children,1.294,0.038188577
street,place,4.5,0.23375237
stroke,hospital,3.625,0.0662632
student,professor,4.9375,0.31148845
sugar,approach,0.9375,0.15808716
summer,drought,3.3125,0.33998883
summer,nature,4.0,-0.1102531
telephone,communication,6.6875,-0.04419825
television,film,5.75,0.07355713
television,radio,4.625,0.19330135
tennis,racket,5.0,-0.107837655
territory,kilometer,2.1875,0.060539745
territory,surface,3.594,0.1687266
theater,history,1.9375,0.23233138
tiger,animal,6.9375,0.21100569
tiger,cat,6.75,0.3019794
tiger,jaguar,5.75,0.27467293
tiger,organism,3.0625,0.33184224
tiger,tiger,10.0,0.99999994
tiger,zoo,4.9375,0.46197698
train,car,3.5,0.42198354
travel,activity,4.1875,0.089769274
treatment,recovery,5.3125,0.2844659
type,kind,8.4375,0.316438
victim,emergency,2.6875,-0.03374105
war,troops,6.375,0.11825534
weapon,secret,2.5,0.21999964
weather,forecast,5.4375,0.07575576
wood,forest,7.9375,0.24233434
word,similarity,0.8125,0.10906449
