Word1,Word2,Human_Score,Model_Score
psychology,fear,3.1875,0.23321128
psychology,health,4.3625,0.18756934
psychology,mind,5.4375,0.16043518
psychology,science,5.9505,0.31475165
reason,criterion,4.625,0.0060847746
record,number,3.5,0.011484992
registration,arrangement,3.4375,0.12010303
report,gain,2.25,0.10900383
rock,jazz,5.5,0.025930593
school,center,3.875,0.09132707
secretary,senate,3.75,0.34657684
seven,series,2.25,0.09230169
shower,flood,3.5625,0.078816734
situation,conclusion,3.5625,0.18812469
situation,isolation,1.9375,0.2222984
size,prominence,3.75,0.11632438
skin,eye,2.75,0.14510019
smart,student,3.625,0.03633513
smart,stupid,3.25,0.2905316
soap,opera,3.5625,0.14077193
space,chemistry,1.8875,0.13577275
space,world,4.9375,0.14816073
start,match,2.5,0.04971574
start,year,1.625,0.17408152
stock,egg,1.4375,0.17043239
stock,jaguar,0.9375,0.17498723
stock,life,1.8125,0.017753044
stock,live,1.875,-0.05237707
stock,market,4.875,0.50201076
stock,phone,0.75,-0.022941645
street,avenue,7.6875,0.44543162
street,block,6.5625,0.4205939
street,children,1.294,0.11047326
street,place,4.5,0.22274972
stroke,hospital,3.625,0.004831877
student,professor,4.9375,0.32539165
sugar,approach,0.9375,0.08381691
summer,drought,3.3125,0.25238743
summer,nature,4.0,-0.13513453
telephone,communication,6.6875,0.18151377
television,film,5.75,0.3638194
television,radio,4.625,0.37933326
tennis,racket,5.0,0.056957263
territory,kilometer,2.1875,0.015588282
territory,surface,3.594,0.16851602
theater,history,1.9375,0.11796279
tiger,animal,6.9375,0.12212365
tiger,cat,6.75,0.26031256
tiger,jaguar,5.75,0.19058552
tiger,organism,3.0625,0.043860327
tiger,tiger,10.0,1.0000001
tiger,zoo,4.9375,0.32489142
train,car,3.5,0.3658762
travel,activity,4.1875,0.14395185
treatment,recovery,5.3125,0.1807403
type,kind,8.4375,0.18099962
victim,emergency,2.6875,0.057961296
war,troops,6.375,0.29556602
weapon,secret,2.5,0.1242425
weather,forecast,5.4375,0.028004035
wood,forest,7.9375,0.17270757
word,similarity,0.8125,0.08493677
